director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Louis Feuillade,René Navarre,Georges Melchior,Edmund Breon,Crime Drama,fantômas: the false magistrate,René Navarre Georges Melchior Edmund Breon Louis Feuillade Crime Drama
Gregory La Cava,Claudette Colbert,Charles Boyer,Joan Bennett,Drama,private worlds,Claudette Colbert Charles Boyer Joan Bennett Gregory La Cava Drama
Robert L. Lippert Paul Landres,James Ellison,Mary Beth Hughes,Jane Frazee,Western,last of the wild horses,James Ellison Mary Beth Hughes Jane Frazee Robert L. Lippert Paul Landres Western
Eddie Dew,Willard Parker,Mara Corday,Barton MacLane,Western,naked gun,Willard Parker Mara Corday Barton MacLane Eddie Dew Western
Paul Landres,Alan Freed,Jimmy Clanton,Sandy Stewart,Music,"go, johnny, go!",Alan Freed Jimmy Clanton Sandy Stewart Paul Landres Music
Rafal Zielinski,Peter Keleghan,Kent Deuters,Linda Speciale,Comedy,screwballs,Peter Keleghan Kent Deuters Linda Speciale Rafal Zielinski Comedy
Rafal Zielinski,Bryan Genesse,Lance Van Der Kolk,Alan Deveau,Comedy,loose screws,Bryan Genesse Lance Van Der Kolk Alan Deveau Rafal Zielinski Comedy
Rafal Zielinski,Mary Kohnert,Jack DeLeon,Jon Sharp,Comedy,valet girls,Mary Kohnert Jack DeLeon Jon Sharp Rafal Zielinski Comedy
Rafal Zielinski,Michael C. Bendetti,Andrew Zeller,Jeff Greenman,Comedy,screwball hotel,Michael C. Bendetti Andrew Zeller Jeff Greenman Rafal Zielinski Comedy
Rafal Zielinski,Adam Ant,Richard Blade,Gail O'Grady,Horror Mystery,spellcaster,Adam Ant Richard Blade Gail O'Grady Rafal Zielinski Horror Mystery
Robert D. Webb,Victor Mature,Alexander Scourby,Lee Marvin,War,the glory brigade,Victor Mature Alexander Scourby Lee Marvin Robert D. Webb War
